row_id,split,rouge1_f1,rouge1_p,rouge1_r,rouge2_f1,rouge2_p,rouge2_r,rougeL_f1,rougeL_p,rougeL_r,bleu,meteor,parole_generate
425,train,0.4268292682926829,0.4605263157894737,0.3977272727272727,0.19522776572668116,0.20089285714285715,0.189873417721519,0.23284823284823283,0.24034334763948498,0.22580645161290322,0.12608285813589645,0.43812490495575557,227
1639,train,0.37104072398190047,0.35964912280701755,0.38317757009345793,0.1504702194357367,0.14201183431952663,0.16,0.1901840490797546,0.18023255813953487,0.2012987012987013,0.09055932757573809,0.47487729023400704,169
1739,train,0.5594855305466239,0.5612903225806452,0.5576923076923077,0.3017241379310344,0.2978723404255319,0.3056768558951965,0.24896265560165973,0.24390243902439024,0.2542372881355932,0.2600578983139514,0.5822784228410651,240
1952,train,0.43046357615894043,0.4676258992805755,0.3987730061349693,0.19246861924686193,0.1940928270042194,0.1908713692946058,0.1923076923076923,0.18867924528301888,0.19607843137254902,0.15419026239362102,0.511692822306274,262
2082,train,0.4363636363636364,0.5607476635514018,0.35714285714285715,0.1984732824427481,0.2565789473684211,0.16182572614107885,0.20924574209245742,0.2670807453416149,0.172,0.1128889525505092,0.45209335896106334,160
2847,train,0.463855421686747,0.55,0.4010416666666667,0.18181818181818182,0.21495327102803738,0.15753424657534246,0.24060150375939848,0.2882882882882883,0.2064516129032258,0.10221000736746187,0.45152029857385095,219
3003,train,0.33650793650793653,0.3581081081081081,0.31736526946107785,0.06896551724137932,0.06986899563318777,0.06808510638297872,0.14344262295081966,0.14056224899598393,0.14644351464435146,0.04126543729752741,0.33102748457974296,240
4558,train,0.47863247863247865,0.4692737430167598,0.4883720930232558,0.24652087475149104,0.2421875,0.25101214574898784,0.20833333333333334,0.20522388059701493,0.21153846153846154,0.21167873907503273,0.525299205052531,265
4679,train,0.45185185185185184,0.3719512195121951,0.5754716981132075,0.19095477386934676,0.152,0.25675675675675674,0.20095693779904308,0.1596958174904943,0.2709677419354839,0.11915171891177676,0.6151990142181211,259
5164,train,0.5398230088495575,0.6224489795918368,0.4765625,0.28571428571428575,0.3333333333333333,0.25,0.3671232876712329,0.42138364779874216,0.32524271844660196,0.19607251826729669,0.5414803763478996,158
5229,train,0.5359477124183006,0.5616438356164384,0.5125,0.21794871794871795,0.22666666666666666,0.20987654320987653,0.23742454728370221,0.24789915966386555,0.2277992277992278,0.15784193726984616,0.5488511786947791,232
5697,train,0.4198473282442748,0.38461538461538464,0.46218487394957986,0.14457831325301204,0.125,0.17142857142857143,0.17607223476297967,0.1517509727626459,0.20967741935483872,0.07866712746704221,0.5282217743706114,255
6078,train,0.5016722408026757,0.4966887417218543,0.5067567567567568,0.25298329355608595,0.26108374384236455,0.24537037037037038,0.3302325581395349,0.34299516908212563,0.3183856502242152,0.2392563579681042,0.4878009138276769,206
6140,train,0.49418604651162795,0.44502617801047123,0.5555555555555556,0.23484848484848483,0.1987179487179487,0.28703703703703703,0.3225806451612903,0.2727272727272727,0.39473684210526316,0.19722623024153266,0.5961314994143955,324
6338,train,0.4279475982532751,0.5051546391752577,0.3712121212121212,0.161849710982659,0.19444444444444445,0.13861386138613863,0.23497267759562837,0.28289473684210525,0.20093457943925233,0.09717760248342318,0.41866986100875775,153
6619,train,0.47567567567567565,0.4607329842931937,0.49162011173184356,0.25678119349005424,0.24825174825174826,0.26591760299625467,0.26896551724137935,0.26,0.2785714285714286,0.21660599002372033,0.5390049880164053,300
6698,train,0.4759206798866855,0.5217391304347826,0.4375,0.27881040892193304,0.3177966101694915,0.24834437086092714,0.22377622377622378,0.2591093117408907,0.19692307692307692,0.20986413714605667,0.44766561353161305,247
6717,train,0.5365853658536586,0.5978260869565217,0.48672566371681414,0.1917808219178082,0.21374045801526717,0.17391304347826086,0.1901639344262295,0.21641791044776118,0.1695906432748538,0.10955758331138532,0.5020888615943456,133
7296,train,0.5586206896551725,0.6090225563909775,0.5159235668789809,0.24480369515011546,0.2896174863387978,0.212,0.30329670329670333,0.359375,0.2623574144486692,0.1568425336102029,0.5041021129145143,191
8180,train,0.33695652173913043,0.29107981220657275,0.4,0.07931034482758621,0.06318681318681318,0.10648148148148148,0.1500815660685155,0.11794871794871795,0.2062780269058296,0.03629922871165599,0.4713460240314926,387
9144,train,0.23561643835616436,0.1902654867256637,0.30935251798561153,0.04371584699453552,0.035398230088495575,0.05714285714285714,0.14385964912280702,0.11714285714285715,0.18636363636363637,0.022684672422425667,0.3990690866291673,347
10189,train,0.5296167247386759,0.6386554621848739,0.4523809523809524,0.3529411764705882,0.4311377245508982,0.2987551867219917,0.4074941451990633,0.5028901734104047,0.3425196850393701,0.26027169202733863,0.4880030206569378,172
10463,train,0.5780730897009966,0.5272727272727272,0.6397058823529411,0.3744493392070485,0.32945736434108525,0.4336734693877551,0.39583333333333337,0.34798534798534797,0.45893719806763283,0.29399226869135403,0.6413857421864662,274
10659,train,0.5269461077844311,0.6470588235294118,0.4444444444444444,0.27906976744186046,0.36585365853658536,0.22556390977443608,0.3470319634703196,0.4578313253012048,0.27941176470588236,0.1660205515588718,0.4131597679135474,83
12601,train,0.4240282685512367,0.4225352112676056,0.425531914893617,0.17307692307692307,0.16981132075471697,0.17647058823529413,0.27842227378190254,0.2727272727272727,0.2843601895734597,0.15429005523686928,0.4860353949132725,218
13031,train,0.4355828220858896,0.3901098901098901,0.4930555555555556,0.2306163021868787,0.21245421245421245,0.25217391304347825,0.2550831792975971,0.24125874125874125,0.27058823529411763,0.2032953658463037,0.5501733919133223,282
13730,train,0.5108225108225107,0.5267857142857143,0.4957983193277311,0.2878338278931751,0.2948328267477204,0.2811594202898551,0.28205128205128205,0.2920353982300885,0.2727272727272727,0.27889898742435487,0.5352169736227471,331
14110,train,0.6078431372549019,0.6992481203007519,0.5375722543352601,0.34273318872017355,0.41578947368421054,0.2915129151291513,0.39918533604887985,0.48756218905472637,0.33793103448275863,0.2447072552331378,0.5051582861400455,197
14328,train,0.489010989010989,0.5493827160493827,0.4405940594059406,0.2459893048128342,0.27058823529411763,0.22549019607843138,0.2412060301507538,0.2647058823529412,0.22153846153846155,0.1744125729851023,0.5223639936256721,268
14446,train,0.46153846153846156,0.49514563106796117,0.4322033898305085,0.2662721893491124,0.26785714285714285,0.2647058823529412,0.32664756446991405,0.3275862068965517,0.32571428571428573,0.21855739203494384,0.5031425518537955,174
14628,train,0.52,0.52,0.52,0.26229508196721313,0.2608695652173913,0.26373626373626374,0.3155216284987278,0.31313131313131315,0.31794871794871793,0.22461297043747921,0.5632359933275084,196
14935,train,0.5573770491803279,0.6623376623376623,0.4811320754716981,0.23015873015873015,0.29,0.19078947368421054,0.29571984435797666,0.37623762376237624,0.24358974358974358,0.13194987591857973,0.4451823185313514,100
