row_id,split,rouge1_f1,rouge1_p,rouge1_r,rouge2_f1,rouge2_p,rouge2_r,rougeL_f1,rougeL_p,rougeL_r,bleu,meteor,parole_generate
425,train,0.47019867549668876,0.5634920634920635,0.4034090909090909,0.23113207547169812,0.2620320855614973,0.20675105485232068,0.27210884353741494,0.31088082901554404,0.24193548387096775,0.16459280773941226,0.46185440605283345,189
1639,train,0.3333333333333333,0.3217391304347826,0.34579439252336447,0.12861736334405147,0.12422360248447205,0.13333333333333333,0.2236024844720497,0.21428571428571427,0.23376623376623376,0.0966305061536054,0.43073196301515937,167
1739,train,0.49805447470817116,0.6336633663366337,0.41025641025641024,0.23809523809523808,0.30201342281879195,0.1965065502183406,0.25757575757575757,0.31875,0.21610169491525424,0.15659563438289173,0.4684762998967137,157
1952,train,0.48571428571428577,0.5811965811965812,0.4171779141104294,0.213953488372093,0.24338624338624337,0.1908713692946058,0.2541666666666667,0.27111111111111114,0.23921568627450981,0.18422338480615028,0.5079353706180576,223
2082,train,0.37671232876712324,0.4435483870967742,0.3273809523809524,0.15058823529411766,0.17391304347826086,0.13278008298755187,0.21380846325167038,0.24120603015075376,0.192,0.09899168856765474,0.41239779850327907,197
2847,train,0.5214521452145214,0.7117117117117117,0.4114583333333333,0.21978021978021975,0.3067484662576687,0.17123287671232876,0.2669404517453799,0.3672316384180791,0.20967741935483872,0.13105622074294768,0.4111897212130498,173
3003,train,0.41860465116279066,0.5934065934065934,0.32335329341317365,0.15211267605633802,0.225,0.1148936170212766,0.17789757412398924,0.25,0.13807531380753138,0.05490506327106091,0.319747526747991,124
4558,train,0.39999999999999997,0.45864661654135336,0.3546511627906977,0.15034168564920272,0.171875,0.13360323886639677,0.18376068376068372,0.20673076923076922,0.16538461538461538,0.10577919687272484,0.4081231486619498,207
4679,train,0.43668122270742354,0.4065040650406504,0.4716981132075472,0.19642857142857142,0.17553191489361702,0.22297297297297297,0.2594594594594594,0.22325581395348837,0.3096774193548387,0.12448714541549395,0.546579601664367,216
5164,train,0.6254826254826255,0.6183206106870229,0.6328125,0.4267352185089975,0.4213197969543147,0.4322916666666667,0.4622641509433963,0.44954128440366975,0.47572815533980584,0.3975385560239562,0.6756756724287702,217
5229,train,0.512280701754386,0.584,0.45625,0.22374429223744294,0.2512820512820513,0.20164609053497942,0.2536997885835095,0.2803738317757009,0.23166023166023167,0.15495554583351173,0.49901765404336956,205
5697,train,0.5263157894736842,0.6111111111111112,0.46218487394957986,0.2758620689655173,0.3055555555555556,0.25142857142857145,0.2904109589041096,0.29608938547486036,0.2849462365591398,0.21325383790600907,0.5180780780689112,181
6078,train,0.5878136200716846,0.6259541984732825,0.5540540540540541,0.3446601941747573,0.3622448979591837,0.3287037037037037,0.3623853211009174,0.37089201877934275,0.3542600896860987,0.30248340875301627,0.5765761021297624,212
6140,train,0.480565371024735,0.5230769230769231,0.4444444444444444,0.21951219512195122,0.23195876288659795,0.20833333333333334,0.3076923076923077,0.3283582089552239,0.2894736842105263,0.20093276579659222,0.5015429951638143,197
6338,train,0.48962655601659755,0.5412844036697247,0.44696969696969696,0.20765027322404372,0.23170731707317074,0.18811881188118812,0.3099273607748184,0.32160804020100503,0.29906542056074764,0.15713700745578366,0.47058738193258964,196
6619,train,0.33865814696485624,0.39552238805970147,0.29608938547486036,0.14601769911504422,0.1783783783783784,0.12359550561797752,0.1928721174004193,0.233502538071066,0.16428571428571428,0.08730653097439393,0.32378984050881465,193
6698,train,0.3777089783281734,0.46564885496183206,0.3177083333333333,0.16194331983805668,0.20833333333333334,0.13245033112582782,0.2309124767225326,0.29245283018867924,0.19076923076923077,0.11680759592579087,0.3442671527275339,212
6717,train,0.5217391304347826,0.4714285714285714,0.584070796460177,0.1917808219178082,0.1715686274509804,0.21739130434782608,0.225130890052356,0.2037914691943128,0.25146198830409355,0.13803462485609888,0.5999982989880029,210
7296,train,0.48056537102473496,0.5396825396825397,0.43312101910828027,0.18764302059496568,0.2192513368983957,0.164,0.24568965517241376,0.2835820895522388,0.21673003802281368,0.1233535453500098,0.4633931121207717,200
8180,train,0.3724137931034483,0.4,0.34838709677419355,0.09290953545232274,0.09844559585492228,0.08796296296296297,0.1411764705882353,0.1485148514851485,0.13452914798206278,0.056080114976608975,0.3845979910730506,201
9144,train,0.2049469964664311,0.2013888888888889,0.20863309352517986,0.0392156862745098,0.04040404040404041,0.0380952380952381,0.16470588235294117,0.17073170731707318,0.1590909090909091,0.1075534520806914,0.3203635110687918,203
10189,train,0.5547945205479452,0.6532258064516129,0.48214285714285715,0.27053140096618356,0.3236994219653179,0.23236514522821577,0.32036613272311215,0.3825136612021858,0.2755905511811024,0.19124571718214847,0.4657756045133881,184
10463,train,0.779527559055118,0.8389830508474576,0.7279411764705882,0.5994694960212202,0.6243093922651933,0.576530612244898,0.582089552238806,0.6,0.5652173913043478,0.529564567050306,0.7531584062002975,196
10659,train,0.47668393782383417,0.48936170212765956,0.46464646464646464,0.22222222222222224,0.2265625,0.21804511278195488,0.31316725978647686,0.30344827586206896,0.3235294117647059,0.17150083728745075,0.45288317662031413,144
12601,train,0.296028880866426,0.3014705882352941,0.2907801418439716,0.07161125319693096,0.0748663101604278,0.06862745098039216,0.15980629539951577,0.16336633663366337,0.15639810426540285,0.039622726737841944,0.3233837619389961,198
13031,train,0.4014336917562724,0.4148148148148148,0.3888888888888889,0.1924882629107981,0.20918367346938777,0.1782608695652174,0.2060085836909871,0.22748815165876776,0.18823529411764706,0.16575045961078813,0.39903836713693774,205
13730,train,0.3670212765957447,0.5,0.28991596638655465,0.14579439252336449,0.20526315789473684,0.11304347826086956,0.2158273381294964,0.31088082901554404,0.1652892561983471,0.08372621280146825,0.32369559698103634,191
14110,train,0.4686468646864686,0.5461538461538461,0.41040462427745666,0.28817204301075267,0.34536082474226804,0.24723247232472326,0.316,0.3761904761904762,0.27241379310344827,0.20747845885173896,0.46453869677861054,206
14328,train,0.49333333333333323,0.7551020408163265,0.36633663366336633,0.2555066079295154,0.3918918918918919,0.1895424836601307,0.23673469387755097,0.3515151515151515,0.17846153846153845,0.1213100115901585,0.39158575601027035,164
14446,train,0.5,0.5283018867924528,0.4745762711864407,0.29518072289156627,0.30246913580246915,0.28823529411764703,0.2857142857142857,0.2751322751322751,0.29714285714285715,0.23416783743851904,0.5442162620463337,187
14628,train,0.40310077519379844,0.39097744360902253,0.416,0.12105263157894736,0.11616161616161616,0.12637362637362637,0.22871046228710462,0.2175925925925926,0.24102564102564103,0.08015976977445498,0.4819407928823031,214
14935,train,0.6195652173913043,0.7307692307692307,0.5377358490566038,0.26877470355731226,0.33663366336633666,0.2236842105263158,0.4148148148148148,0.49122807017543857,0.358974358974359,0.18390551551383902,0.5270089713638164,113
15247,train,0.5038167938931297,0.7096774193548387,0.3905325443786982,0.18716577540106952,0.2777777777777778,0.14112903225806453,0.2436548223350254,0.34782608695652173,0.1875,0.0823024357868179,0.3644548684294365,136
15256,train,0.5555555555555555,0.660377358490566,0.4794520547945205,0.3506493506493506,0.39705882352941174,0.313953488372093,0.48447204968944096,0.5416666666666666,0.43820224719101125,0.30437622467112846,0.49255412122358594,71
16049,train,0.4109589041095891,0.4411764705882353,0.38461538461538464,0.13580246913580246,0.14965986394557823,0.12429378531073447,0.24855491329479767,0.27741935483870966,0.225130890052356,0.10593341391762169,0.39484283984978547,155
17335,train,0.6616541353383459,0.7096774193548387,0.6197183098591549,0.41025641025641024,0.42780748663101603,0.39408866995073893,0.3484486873508353,0.3492822966507177,0.3476190476190476,0.3557166105673237,0.6431634046314084,208
17496,train,0.6041666666666667,0.5979381443298969,0.6105263157894737,0.3154121863799283,0.3013698630136986,0.3308270676691729,0.3559870550161812,0.3235294117647059,0.39568345323741005,0.22965938536045027,0.6544682687333754,171
18024,train,0.4694835680751174,0.5681818181818182,0.4,0.187683284457478,0.23880597014925373,0.15458937198067632,0.2463054187192118,0.28901734104046245,0.2145922746781116,0.1080847811654686,0.444932919773113,171
18210,train,0.44531250000000006,0.5533980582524272,0.37254901960784315,0.2246575342465753,0.3014705882352941,0.17903930131004367,0.295,0.3597560975609756,0.25,0.17376316535322597,0.3846153814767198,162
18217,train,0.6032786885245902,0.7076923076923077,0.5257142857142857,0.40842105263157885,0.4898989898989899,0.35018050541516244,0.4282828282828282,0.5047619047619047,0.3719298245614035,0.32443847810949855,0.5441441265140866,204
18231,train,0.3180212014134276,0.34615384615384615,0.29411764705882354,0.05620608899297424,0.05825242718446602,0.05429864253393665,0.17857142857142858,0.1834862385321101,0.17391304347826086,0.06652821767716657,0.39772718044962674,219
18965,train,0.40322580645161293,0.38461538461538464,0.423728813559322,0.20253164556962025,0.19047619047619047,0.21621621621621623,0.20359281437125748,0.18681318681318682,0.2236842105263158,0.11636240407525333,0.45161218697692673,89
19213,train,0.36718749999999994,0.47959183673469385,0.2974683544303797,0.19098143236074272,0.25,0.15450643776824036,0.2505694760820046,0.2849740932642487,0.22357723577235772,0.14409015889268462,0.38634269591337017,195
22059,train,0.591304347826087,0.576271186440678,0.6071428571428571,0.27936507936507937,0.2619047619047619,0.29931972789115646,0.2535211267605634,0.22388059701492538,0.2922077922077922,0.2034028492242683,0.6679269050911314,201
22298,train,0.3643410852713178,0.41228070175438597,0.3263888888888889,0.14207650273224043,0.1511627906976744,0.13402061855670103,0.215158924205379,0.2146341463414634,0.21568627450980393,0.12708940335163185,0.42133547659974,202
22541,train,0.5236363636363637,0.5581395348837209,0.4931506849315068,0.2685851318944844,0.2814070351758794,0.25688073394495414,0.3401360544217687,0.352112676056338,0.32894736842105265,0.23479093646009255,0.5430458687087606,213
23283,train,0.47284345047923315,0.5211267605633803,0.4327485380116959,0.21538461538461537,0.24257425742574257,0.19367588932806323,0.21794871794871792,0.24170616113744076,0.19844357976653695,0.17420894030425013,0.48335350885456596,208
23526,train,0.443661971830986,0.5121951219512195,0.391304347826087,0.20608899297423885,0.24043715846994534,0.18032786885245902,0.2971175166297118,0.3333333333333333,0.268,0.17036927367520927,0.4814325917835377,200
