row_id,split,rouge1_f1,rouge1_p,rouge1_r,rouge2_f1,rouge2_p,rouge2_r,rougeL_f1,rougeL_p,rougeL_r,bleu,meteor,parole_generate
425,train,0.35658914728682173,0.32701421800947866,0.39204545454545453,0.09698996655518394,0.08033240997229917,0.12236286919831224,0.14285714285714288,0.11061946902654868,0.20161290322580644,0.06040479295750824,0.4433454878624969,434
1639,train,0.28653295128939826,0.2066115702479339,0.4672897196261682,0.08727272727272727,0.06,0.16,0.15946843853820597,0.10714285714285714,0.3116883116883117,0.03627245978292701,0.4688827590125294,443
1739,train,0.37383177570093457,0.36363636363636365,0.38461538461538464,0.13530655391120508,0.13114754098360656,0.13973799126637554,0.1900990099009901,0.17843866171003717,0.2033898305084746,0.1177949765081784,0.4554223181663362,265
1952,train,0.40957446808510634,0.3615023474178404,0.4723926380368098,0.14098360655737704,0.11653116531165311,0.17842323651452283,0.17246596066565809,0.14039408866995073,0.2235294117647059,0.10993421404114113,0.544234586138788,392
2082,train,0.30687830687830686,0.2761904761904762,0.34523809523809523,0.11186440677966103,0.09455587392550144,0.13692946058091288,0.1606299212598425,0.13246753246753246,0.204,0.03332285713962078,0.48180686520248517,375
2847,train,0.39351851851851855,0.3541666666666667,0.4427083333333333,0.1358695652173913,0.11261261261261261,0.17123287671232876,0.16957605985037408,0.13821138211382114,0.21935483870967742,0.07319178996074763,0.545386335685448,491
3003,train,0.4022346368715084,0.3769633507853403,0.4311377245508982,0.10486891385767791,0.09364548494983277,0.11914893617021277,0.14335664335664336,0.12312312312312312,0.17154811715481172,0.07144237043795204,0.45483752802072785,324
4558,train,0.39086294416243655,0.34684684684684686,0.4476744186046512,0.09933774834437085,0.08403361344537816,0.1214574898785425,0.14939024390243902,0.12373737373737374,0.18846153846153846,0.04352258460473644,0.5189967284749785,399
4679,train,0.30945558739255014,0.2222222222222222,0.5094339622641509,0.06217616580310881,0.04176334106728538,0.12162162162162163,0.134185303514377,0.08917197452229299,0.2709677419354839,0.03800678049422277,0.5090972738143816,465
5164,train,0.43391521197007477,0.31868131868131866,0.6796875,0.24122137404580155,0.17062634989200864,0.4114583333333333,0.18131868131868134,0.12643678160919541,0.32038834951456313,0.14484086735421792,0.6397305540386293,510
5229,train,0.3709677419354839,0.32547169811320753,0.43125,0.14803149606299212,0.11989795918367346,0.1934156378600823,0.17403314917127072,0.13548387096774195,0.24324324324324326,0.0721474045881815,0.5507867886175367,454
5697,train,0.350597609561753,0.3333333333333333,0.3697478991596639,0.10526315789473684,0.09375,0.12,0.168141592920354,0.14285714285714285,0.20430107526881722,0.08248044724150702,0.4535900516956585,261
6078,train,0.29796839729119634,0.22372881355932203,0.44594594594594594,0.0625,0.045081967213114756,0.10185185185185185,0.12398921832884098,0.08863198458574181,0.2062780269058296,0.04215862795746551,0.46709828468692066,523
6140,train,0.48823529411764705,0.44385026737967914,0.5424836601307189,0.20143884892086328,0.16470588235294117,0.25925925925925924,0.22820919175911247,0.17866004962779156,0.3157894736842105,0.15165381753089874,0.5906303049226835,401
6338,train,0.13953488372093023,0.18072289156626506,0.11363636363636363,0.005970149253731343,0.007518796992481203,0.0049504950495049506,0.1127348643006263,0.1018867924528302,0.1261682242990654,0.03295959721536657,0.16996738898930655,265
6619,train,0.3220338983050847,0.32571428571428573,0.31843575418994413,0.0989010989010989,0.0967741935483871,0.10112359550561797,0.14789915966386555,0.13968253968253969,0.15714285714285714,0.05685380388704687,0.40905456639079263,310
6698,train,0.3615560640732265,0.3224489795918367,0.4114583333333333,0.12448132780082988,0.10688836104513064,0.1490066225165563,0.14437869822485205,0.11730769230769231,0.18769230769230769,0.09438928675283391,0.48182504222036804,503
6717,train,0.4463519313304721,0.43333333333333335,0.46017699115044247,0.18333333333333332,0.1658291457286432,0.20496894409937888,0.2065491183879093,0.18141592920353983,0.23976608187134502,0.11800113643121929,0.5382352123267259,222
