row_id,split,rouge1_f1,rouge1_p,rouge1_r,rouge2_f1,rouge2_p,rouge2_r,rougeL_f1,rougeL_p,rougeL_r,bleu,meteor,parole_generate
425,train,0.32764505119453924,0.41025641025641024,0.2727272727272727,0.06666666666666668,0.08496732026143791,0.05485232067510549,0.15233415233415235,0.1949685534591195,0.125,0.0426864717143432,0.29668183991674246,154
1639,train,0.29556650246305416,0.3125,0.2803738317757009,0.03802281368821293,0.04424778761061947,0.03333333333333333,0.16974169741697417,0.19658119658119658,0.14935064935064934,0.03793318768530585,0.29267636601796404,116
1739,train,0.30597014925373134,0.36607142857142855,0.26282051282051283,0.0474934036939314,0.06,0.039301310043668124,0.13810741687979539,0.17419354838709677,0.11440677966101695,0.032852016043134334,0.3023302435593663,152
1952,train,0.4142857142857143,0.49572649572649574,0.3558282208588957,0.11616161616161616,0.14838709677419354,0.0954356846473029,0.19617224880382775,0.25153374233128833,0.1607843137254902,0.05268658488293332,0.3539056802239397,158
2082,train,0.33576642335766427,0.4339622641509434,0.27380952380952384,0.0835509138381201,0.11267605633802817,0.06639004149377593,0.19095477386934676,0.25675675675675674,0.152,0.04551685033250318,0.3085700955188911,148
2847,train,0.3367003367003367,0.47619047619047616,0.2604166666666667,0.09111617312072894,0.1360544217687075,0.0684931506849315,0.19742489270386265,0.2948717948717949,0.14838709677419354,0.03217752061772791,0.3054784076737218,150
3003,train,0.33571428571428574,0.415929203539823,0.281437125748503,0.08465608465608465,0.11188811188811189,0.06808510638297872,0.1088082901554404,0.14285714285714285,0.08786610878661087,0.03989158107399329,0.29583724298302877,141
4558,train,0.3678929765886288,0.4330708661417323,0.31976744186046513,0.05925925925925926,0.0759493670886076,0.048582995951417005,0.15165876777251183,0.19753086419753085,0.12307692307692308,0.022236700968190772,0.3035744545991693,161
4679,train,0.38222222222222224,0.36134453781512604,0.4056603773584906,0.1764705882352941,0.17088607594936708,0.18243243243243243,0.21739130434782605,0.20958083832335328,0.22580645161290322,0.16079041640921535,0.44814295794243136,164
5164,train,0.39826839826839827,0.44660194174757284,0.359375,0.10158730158730157,0.13008130081300814,0.08333333333333333,0.1741741741741742,0.2283464566929134,0.1407766990291262,0.037873428814183645,0.323065119270761,123
5229,train,0.41428571428571426,0.48333333333333334,0.3625,0.10972568578553617,0.13924050632911392,0.09053497942386832,0.21377672209026133,0.2777777777777778,0.17374517374517376,0.07326073694470815,0.34496147400587984,158
5697,train,0.3867924528301887,0.44086021505376344,0.3445378151260504,0.14093959731543623,0.17073170731707318,0.12,0.21518987341772153,0.26153846153846155,0.1827956989247312,0.061963527247990056,0.3713788449503164,128
6078,train,0.2716981132075472,0.3076923076923077,0.24324324324324326,0.04301075268817204,0.05128205128205128,0.037037037037037035,0.13054830287206268,0.15625,0.11210762331838565,0.09408937717526146,0.2531074706884046,158
